Happy	en	ADJ
birthday	en	NOUN
di	hi	VERB
..	univ	X

Live	en	VERB
long	en	ADJ
!	univ	X
Ding	en	NOUN
dong	en	VERB

Thnk	hi	VERB
u	hi	PRON
akki	hi	NOUN

are	hi	VERB
..	univ	X

Jage	en	NOUN
hue	hi	ADJ
ho	hi	VERB

So	hi	ADP
gyi	hi	NOUN
thi	hi	VERB

Abi	hi	NOUN
uthi	hi	NOUN

Bahut	hi	NOUN
sahi	hi	NOUN

Kai's	hi	NOUN
ho	hi	VERB
?	univ	X

Mai	hi	NOUN
achhi	hi	ADJ

Tu	hi	#
sunnna	hi	NOUN

Bas	hi	X
didi	hi	NOUN
sab	hi	DET
thk	hi	X

Haan	hi	U

Agye	hi	ADJ
tum	hi	X
log	hi	NOUN
chennai	ne	NOUN
se	hi	ADP
??	univ	X

Nahi	hi	NOUN
didi	hi	NOUN
wo	hi	VERB
log	hi	NOUN
nahi	hi	NOUN
aaye	hi	NOUN

Abhi	hi	NOUN
tak	hi	X

Tu	hi	X
ni	hi	PART
gya	hi	NOUN
??	univ	X

Nai	hi	PRON
di	hi	VERB
..	univ	X

Mandir	ne	NOUN
gaya	hi	NOUN
tha	hi	X
main	hi	NOUN
..	univ	X
Okkk	hi	U

Or	hi	X
bdday	en	NOUN
kaisa	hi	NOUN
raha	hi	NOUN
di	hi	VERB
?	univ	X

Ofc	hi	VERB
me	hi	PRON
thi	hi	VERB

Ghr	hi	NOUN
aayi	hi	NOUN
jldi	hi	NOUN
but	en	CONJ
whi	hi	PRON
ghr	hi	NOUN
pe	hi	ADP
hun	hi	VERB

Are	hi	VERB
..	univ	X

To	hi	ADP
budday	en	VERB
gifts	hi	NOUN
to	hi	ADP
mil	hi	NOUN
Hi	hi	NOUN
gaye	hi	NOUN
na	hi	PART
aapke	hi	NOUN
...	univ	X
ðŸ¤—	hi	X
lill	en	VERB
bro	en	VERB
wale	hi	NOUN

Haan	hi	U

Mera	hi	NOUN
bhaiðŸ˜˜ðŸ˜˜	hi	NOUN

Di	hi	NOUN
namaskaramm	hi	VERB

Namashkar	hi	NOUN
akki	hi	NOUN

Kaisa	hi	NOUN
hain	hi	VERB
??	univ	X

Mast	hi	ADJ
hun	hi	VERB
di	hi	VERB

Ghar	hi	X
aaya	hi	NOUN
hu	hi	VERB
...	univ	X

Abhi	hi	NOUN
abhi	hi	NOUN
nizamuddin	hi	PRON
pahucha	hi	NOUN

Ghar	hi	NOUN
ja	hi	NOUN
ra	hi	ADP
hu	hi	VERB
ab	hi	ADP
bus	en	NOUN
em	hi	PRON

Me	hi	PRON

Haan	hi	U

