2024-07-02 01:22:27,895 INFO    MainThread:12344 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-07-02 01:22:27,896 INFO    MainThread:12344 [wandb_setup.py:_flush():76] Configure stats pid to 12344
2024-07-02 01:22:27,896 INFO    MainThread:12344 [wandb_setup.py:_flush():76] Loading settings from /Users/Shayaan/.config/wandb/settings
2024-07-02 01:22:27,896 INFO    MainThread:12344 [wandb_setup.py:_flush():76] Loading settings from /Users/Shayaan/Desktop/code/code-switched-pos-tagging/wandb/settings
2024-07-02 01:22:27,896 INFO    MainThread:12344 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-02 01:22:27,897 INFO    MainThread:12344 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-02 01:22:27,897 INFO    MainThread:12344 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-07-02 01:22:27,897 INFO    MainThread:12344 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-02 01:22:27,897 INFO    MainThread:12344 [wandb_init.py:_log_setup():521] Logging user logs to /Users/Shayaan/Desktop/code/code-switched-pos-tagging/wandb/run-20240702_012227-n3rn386o/logs/debug.log
2024-07-02 01:22:27,897 INFO    MainThread:12344 [wandb_init.py:_log_setup():522] Logging internal logs to /Users/Shayaan/Desktop/code/code-switched-pos-tagging/wandb/run-20240702_012227-n3rn386o/logs/debug-internal.log
2024-07-02 01:22:27,897 INFO    MainThread:12344 [wandb_init.py:init():561] calling init triggers
2024-07-02 01:22:27,897 INFO    MainThread:12344 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.15, 'architecture': 'BERT', 'batch_size': 8, 'epochs': 250}
2024-07-02 01:22:27,898 INFO    MainThread:12344 [wandb_init.py:init():586] re-initializing run, found existing run on stack: fuzk389h
2024-07-02 01:22:27,900 INFO    MainThread:12344 [wandb_run.py:_finish():2064] finishing run shayaan-absar/code-switched-pos-tagging/fuzk389h
2024-07-02 01:22:27,998 INFO    MainThread:12344 [jupyter.py:save_history():445] not saving jupyter history
2024-07-02 01:22:27,998 INFO    MainThread:12344 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-07-02 01:22:27,998 INFO    MainThread:12344 [wandb_init.py:_jupyter_teardown():449] cleaning up jupyter logic
2024-07-02 01:22:27,998 INFO    MainThread:12344 [wandb_run.py:_atexit_cleanup():2304] got exitcode: 0
2024-07-02 01:22:27,999 INFO    MainThread:12344 [wandb_run.py:_restore():2287] restore
2024-07-02 01:22:27,999 INFO    MainThread:12344 [wandb_run.py:_restore():2293] restore done
2024-07-02 01:22:32,178 INFO    MainThread:12344 [wandb_run.py:_footer_history_summary_info():3936] rendering history
2024-07-02 01:22:32,180 INFO    MainThread:12344 [wandb_run.py:_footer_history_summary_info():3968] rendering summary
2024-07-02 01:22:32,190 INFO    MainThread:12344 [wandb_run.py:_footer_sync_info():3895] logging synced files
2024-07-02 01:22:32,316 INFO    MainThread:12344 [wandb_init.py:init():611] starting backend
2024-07-02 01:22:32,316 INFO    MainThread:12344 [wandb_init.py:init():615] setting up manager
2024-07-02 01:22:32,317 INFO    MainThread:12344 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-07-02 01:22:32,318 INFO    MainThread:12344 [wandb_init.py:init():623] backend started and connected
2024-07-02 01:22:32,324 INFO    MainThread:12344 [wandb_run.py:_label_probe_notebook():1299] probe notebook
2024-07-02 01:22:32,324 INFO    MainThread:12344 [wandb_run.py:_label_probe_notebook():1309] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-07-02 01:22:32,324 INFO    MainThread:12344 [wandb_init.py:init():715] updated telemetry
2024-07-02 01:22:32,368 INFO    MainThread:12344 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-07-02 01:22:33,598 INFO    MainThread:12344 [wandb_run.py:_on_init():2357] communicating current version
2024-07-02 01:22:33,728 INFO    MainThread:12344 [wandb_run.py:_on_init():2366] got version response upgrade_message: "wandb version 0.17.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-07-02 01:22:33,728 INFO    MainThread:12344 [wandb_init.py:init():799] starting run threads in backend
2024-07-02 01:22:33,889 INFO    MainThread:12344 [wandb_run.py:_console_start():2335] atexit reg
2024-07-02 01:22:33,889 INFO    MainThread:12344 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-07-02 01:22:33,889 INFO    MainThread:12344 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-07-02 01:22:33,890 INFO    MainThread:12344 [wandb_run.py:_redirect():2280] Redirects installed.
2024-07-02 01:22:33,890 INFO    MainThread:12344 [wandb_init.py:init():842] run started, returning control to user process
