
0 tensor(3.2284, grad_fn=<NegBackward0>)
1 tensor(2.3135, grad_fn=<NegBackward0>)
2 tensor(2.0339, grad_fn=<NegBackward0>)
3 tensor(1.5848, grad_fn=<NegBackward0>)
4 tensor(1.5729, grad_fn=<NegBackward0>)
5 tensor(1.8196, grad_fn=<NegBackward0>)
6 tensor(1.5235, grad_fn=<NegBackward0>)
7 tensor(1.4383, grad_fn=<NegBackward0>)
8 tensor(1.5611, grad_fn=<NegBackward0>)
9 tensor(1.3900, grad_fn=<NegBackward0>)
10 tensor(1.3920, grad_fn=<NegBackward0>)
11 tensor(5.9043, grad_fn=<NegBackward0>)
12 tensor(1.4961, grad_fn=<NegBackward0>)
13 tensor(1.4383, grad_fn=<NegBackward0>)
14 tensor(1.3441, grad_fn=<NegBackward0>)
15 tensor(1.5316, grad_fn=<NegBackward0>)
16 tensor(1.4557, grad_fn=<NegBackward0>)
17 tensor(1.3493, grad_fn=<NegBackward0>)
18 tensor(1.4436, grad_fn=<NegBackward0>)
19 tensor(1.3085, grad_fn=<NegBackward0>)
20 tensor(1.3884, grad_fn=<NegBackward0>)
21 tensor(1.3247, grad_fn=<NegBackward0>)
22 tensor(1.4262, grad_fn=<NegBackward0>)
23 tensor(1.3525, grad_fn=<NegBackward0>)
24 tensor(1.3703, grad_fn=<NegBackward0>)
25 tensor(1.3939, grad_fn=<NegBackward0>)
26 tensor(1.4102, grad_fn=<NegBackward0>)
27 tensor(1.3022, grad_fn=<NegBackward0>)
28 tensor(1.3412, grad_fn=<NegBackward0>)
29 tensor(1.3960, grad_fn=<NegBackward0>)
30 tensor(1.3980, grad_fn=<NegBackward0>)
31 tensor(1.3890, grad_fn=<NegBackward0>)
32 tensor(1.4055, grad_fn=<NegBackward0>)
33 tensor(1.3545, grad_fn=<NegBackward0>)
34 tensor(1.3417, grad_fn=<NegBackward0>)
35 tensor(1.4097, grad_fn=<NegBackward0>)
36 tensor(1.3576, grad_fn=<NegBackward0>)
37 tensor(1.4191, grad_fn=<NegBackward0>)
38 tensor(1.3821, grad_fn=<NegBackward0>)
39 tensor(1.3021, grad_fn=<NegBackward0>)
40 tensor(1.3836, grad_fn=<NegBackward0>)
41 tensor(1.3487, grad_fn=<NegBackward0>)
42 tensor(1.3647, grad_fn=<NegBackward0>)
43 tensor(1.3790, grad_fn=<NegBackward0>)
44 tensor(1.3757, grad_fn=<NegBackward0>)
45 tensor(1.3848, grad_fn=<NegBackward0>)
46 tensor(1.3950, grad_fn=<NegBackward0>)
47 tensor(1.4311, grad_fn=<NegBackward0>)
48 tensor(1.3837, grad_fn=<NegBackward0>)
49 tensor(1.4584, grad_fn=<NegBackward0>)
tensor([15, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12])
tensor([17, 15, 12, 17, 14, 17,  3,  3, 15, 15, 17, 12,  3, 17, 12])
