0 tensor(2.8490, grad_fn=<NegBackward0>)
1 tensor(1.8403, grad_fn=<NegBackward0>)
2 tensor(1.3483, grad_fn=<NegBackward0>)
3 tensor(1.1348, grad_fn=<NegBackward0>)
4 tensor(0.8295, grad_fn=<NegBackward0>)
5 tensor(0.5117, grad_fn=<NegBackward0>)
6 tensor(0.3938, grad_fn=<NegBackward0>)
7 tensor(0.2696, grad_fn=<NegBackward0>)
8 tensor(0.1895, grad_fn=<NegBackward0>)
9 tensor(0.1346, grad_fn=<NegBackward0>)
10 tensor(0.0952, grad_fn=<NegBackward0>)
11 tensor(0.0714, grad_fn=<NegBackward0>)
12 tensor(0.0546, grad_fn=<NegBackward0>)
13 tensor(0.0409, grad_fn=<NegBackward0>)
14 tensor(0.0315, grad_fn=<NegBackward0>)
15 tensor(0.0263, grad_fn=<NegBackward0>)
16 tensor(0.0210, grad_fn=<NegBackward0>)
17 tensor(0.0179, grad_fn=<NegBackward0>)
18 tensor(0.0122, grad_fn=<NegBackward0>)
19 tensor(0.0126, grad_fn=<NegBackward0>)
20 tensor(0.0108, grad_fn=<NegBackward0>)
21 tensor(0.0099, grad_fn=<NegBackward0>)
22 tensor(0.0101, grad_fn=<NegBackward0>)
23 tensor(0.0084, grad_fn=<NegBackward0>)
24 tensor(0.0072, grad_fn=<NegBackward0>)
25 tensor(0.0069, grad_fn=<NegBackward0>)
26 tensor(0.0063, grad_fn=<NegBackward0>)
27 tensor(0.0055, grad_fn=<NegBackward0>)
28 tensor(0.0054, grad_fn=<NegBackward0>)
29 tensor(0.0056, grad_fn=<NegBackward0>)
30 tensor(0.0048, grad_fn=<NegBackward0>)
31 tensor(0.0043, grad_fn=<NegBackward0>)
32 tensor(0.0042, grad_fn=<NegBackward0>)
33 tensor(0.0039, grad_fn=<NegBackward0>)
34 tensor(0.0039, grad_fn=<NegBackward0>)
35 tensor(0.0036, grad_fn=<NegBackward0>)
36 tensor(0.0032, grad_fn=<NegBackward0>)
37 tensor(0.0032, grad_fn=<NegBackward0>)
38 tensor(0.0034, grad_fn=<NegBackward0>)
39 tensor(0.0034, grad_fn=<NegBackward0>)
40 tensor(0.0031, grad_fn=<NegBackward0>)
41 tensor(0.0029, grad_fn=<NegBackward0>)
42 tensor(0.0029, grad_fn=<NegBackward0>)
43 tensor(0.0028, grad_fn=<NegBackward0>)
44 tensor(0.0029, grad_fn=<NegBackward0>)
45 tensor(0.0027, grad_fn=<NegBackward0>)
46 tensor(0.0025, grad_fn=<NegBackward0>)
47 tensor(0.0026, grad_fn=<NegBackward0>)
48 tensor(0.0027, grad_fn=<NegBackward0>)
49 tensor(0.0026, grad_fn=<NegBackward0>)
tensor([[15,  3,  3,  0, 12, 12, 12, 12, 12, 12],
        [12, 12, 15, 14,  1, 15,  3, 15,  0, 12]])
[[15, 3, 3, 0], [12, 12, 15, 14, 1, 15, 3, 15, 0, 12]]
