
0 tensor(2.9395, grad_fn=<NegBackward0>)
1 tensor(1.9212, grad_fn=<NegBackward0>)
2 tensor(1.6546, grad_fn=<NegBackward0>)
3 tensor(1.4494, grad_fn=<NegBackward0>)
4 tensor(1.2225, grad_fn=<NegBackward0>)
5 tensor(0.9910, grad_fn=<NegBackward0>)
6 tensor(0.7519, grad_fn=<NegBackward0>)
7 tensor(0.5533, grad_fn=<NegBackward0>)
8 tensor(0.3862, grad_fn=<NegBackward0>)
9 tensor(0.2533, grad_fn=<NegBackward0>)
10 tensor(0.1955, grad_fn=<NegBackward0>)
11 tensor(0.1127, grad_fn=<NegBackward0>)
12 tensor(0.0995, grad_fn=<NegBackward0>)
13 tensor(0.0665, grad_fn=<NegBackward0>)
14 tensor(0.0441, grad_fn=<NegBackward0>)
15 tensor(0.2601, grad_fn=<NegBackward0>)
16 tensor(0.0317, grad_fn=<NegBackward0>)
17 tensor(0.0290, grad_fn=<NegBackward0>)
18 tensor(0.0582, grad_fn=<NegBackward0>)
19 tensor(0.0423, grad_fn=<NegBackward0>)
20 tensor(0.0219, grad_fn=<NegBackward0>)
21 tensor(0.2377, grad_fn=<NegBackward0>)
22 tensor(0.0207, grad_fn=<NegBackward0>)
23 tensor(0.0182, grad_fn=<NegBackward0>)
24 tensor(0.0212, grad_fn=<NegBackward0>)
25 tensor(0.0356, grad_fn=<NegBackward0>)
26 tensor(0.0220, grad_fn=<NegBackward0>)
27 tensor(0.0185, grad_fn=<NegBackward0>)
28 tensor(0.0114, grad_fn=<NegBackward0>)
29 tensor(0.0105, grad_fn=<NegBackward0>)
30 tensor(0.0071, grad_fn=<NegBackward0>)
31 tensor(0.0089, grad_fn=<NegBackward0>)
32 tensor(0.0086, grad_fn=<NegBackward0>)
33 tensor(0.0115, grad_fn=<NegBackward0>)
34 tensor(0.0059, grad_fn=<NegBackward0>)
35 tensor(0.0054, grad_fn=<NegBackward0>)
36 tensor(0.0049, grad_fn=<NegBackward0>)
37 tensor(0.0055, grad_fn=<NegBackward0>)
38 tensor(0.0047, grad_fn=<NegBackward0>)
39 tensor(0.0041, grad_fn=<NegBackward0>)
40 tensor(0.0055, grad_fn=<NegBackward0>)
41 tensor(0.0037, grad_fn=<NegBackward0>)
42 tensor(0.0042, grad_fn=<NegBackward0>)
43 tensor(0.0040, grad_fn=<NegBackward0>)
44 tensor(0.0036, grad_fn=<NegBackward0>)
45 tensor(0.0034, grad_fn=<NegBackward0>)
46 tensor(0.0182, grad_fn=<NegBackward0>)
47 tensor(0.0035, grad_fn=<NegBackward0>)
48 tensor(0.0036, grad_fn=<NegBackward0>)
49 tensor(0.0087, grad_fn=<NegBackward0>)
tensor([[15,  3,  3,  0, 14, 14, 14, 14, 14, 14],
        [12, 12, 15, 14,  1, 15,  3, 15,  0, 12]])
[[15, 3, 3, 0], [12, 12, 15, 14, 1, 15, 3, 15, 0, 12]]
