
0 tensor(3.0008, grad_fn=<DivBackward0>) 0.0001
1 tensor(2.3939, grad_fn=<DivBackward0>) 0.0001
2 tensor(2.1548, grad_fn=<DivBackward0>) 0.0001
3 tensor(2.2002, grad_fn=<DivBackward0>) 0.0001
4 tensor(2.1283, grad_fn=<DivBackward0>) 0.0001
5 tensor(1.9313, grad_fn=<DivBackward0>) 0.0001
6 tensor(2.0102, grad_fn=<DivBackward0>) 0.0001
7 tensor(1.8926, grad_fn=<DivBackward0>) 0.0001
8 tensor(1.8892, grad_fn=<DivBackward0>) 0.0001
9 tensor(1.8610, grad_fn=<DivBackward0>) 0.0001
10 tensor(1.8785, grad_fn=<DivBackward0>) 0.0001
11 tensor(1.7019, grad_fn=<DivBackward0>) 0.0001
12 tensor(1.5776, grad_fn=<DivBackward0>) 0.0001
13 tensor(1.4268, grad_fn=<DivBackward0>) 0.0001
14 tensor(1.8198, grad_fn=<DivBackward0>) 0.0001
15 tensor(1.4653, grad_fn=<DivBackward0>) 0.0001
16 tensor(1.4785, grad_fn=<DivBackward0>) 0.0001
17 tensor(1.5211, grad_fn=<DivBackward0>) 0.0001
18 tensor(1.4471, grad_fn=<DivBackward0>) 0.0001
19 tensor(1.3526, grad_fn=<DivBackward0>) 0.0001
20 tensor(1.3636, grad_fn=<DivBackward0>) 0.0001
21 tensor(1.4785, grad_fn=<DivBackward0>) 0.0001
22 tensor(1.4411, grad_fn=<DivBackward0>) 0.0001
23 tensor(1.3014, grad_fn=<DivBackward0>) 0.0001
24 tensor(1.3435, grad_fn=<DivBackward0>) 0.0001
25 tensor(1.2065, grad_fn=<DivBackward0>) 0.0001
26 tensor(1.1604, grad_fn=<DivBackward0>) 0.0001
27 tensor(1.1526, grad_fn=<DivBackward0>) 0.0001
28 tensor(1.3825, grad_fn=<DivBackward0>) 0.0001
29 tensor(0.9911, grad_fn=<DivBackward0>) 0.0001
30 tensor(1.0807, grad_fn=<DivBackward0>) 0.0001
31 tensor(1.0956, grad_fn=<DivBackward0>) 0.0001
32 tensor(1.2599, grad_fn=<DivBackward0>) 0.0001
33 tensor(1.1072, grad_fn=<DivBackward0>) 0.0001
34 tensor(1.1502, grad_fn=<DivBackward0>) 0.0001
35 tensor(1.1759, grad_fn=<DivBackward0>) 0.0001
36 tensor(0.9893, grad_fn=<DivBackward0>) 0.0001
37 tensor(0.8341, grad_fn=<DivBackward0>) 0.0001
38 tensor(1.1704, grad_fn=<DivBackward0>) 0.0001
39 tensor(0.9238, grad_fn=<DivBackward0>) 0.0001
40 tensor(0.9635, grad_fn=<DivBackward0>) 0.0001
41 tensor(1.0137, grad_fn=<DivBackward0>) 0.0001
42 tensor(0.9770, grad_fn=<DivBackward0>) 0.0001
43 tensor(1.0405, grad_fn=<DivBackward0>) 0.0001
44 tensor(0.8645, grad_fn=<DivBackward0>) 0.0001
45 tensor(0.8420, grad_fn=<DivBackward0>) 0.0001
46 tensor(0.8431, grad_fn=<DivBackward0>) 0.0001
47 tensor(1.1528, grad_fn=<DivBackward0>) 0.0001
48 tensor(0.8189, grad_fn=<DivBackward0>) 0.0001
49 tensor(0.9787, grad_fn=<DivBackward0>) 0.0001
50 tensor(0.8440, grad_fn=<DivBackward0>) 0.0001
51 tensor(1.0245, grad_fn=<DivBackward0>) 0.0001
52 tensor(0.9196, grad_fn=<DivBackward0>) 0.0001
53 tensor(0.7947, grad_fn=<DivBackward0>) 0.0001
54 tensor(0.9891, grad_fn=<DivBackward0>) 0.0001
55 tensor(0.7719, grad_fn=<DivBackward0>) 0.0001
56 tensor(0.9343, grad_fn=<DivBackward0>) 0.0001
57 tensor(0.9314, grad_fn=<DivBackward0>) 0.0001
58 tensor(0.8940, grad_fn=<DivBackward0>) 0.0001
59 tensor(0.7720, grad_fn=<DivBackward0>) 0.0001
60 tensor(0.9111, grad_fn=<DivBackward0>) 0.0001
61 tensor(0.9599, grad_fn=<DivBackward0>) 1e-05
62 tensor(0.9696, grad_fn=<DivBackward0>) 1e-05
63 tensor(0.9076, grad_fn=<DivBackward0>) 1e-05
64 tensor(1.0525, grad_fn=<DivBackward0>) 1e-05
65 tensor(0.9712, grad_fn=<DivBackward0>) 1e-05
66 tensor(0.8612, grad_fn=<DivBackward0>) 1e-05
67 tensor(0.9830, grad_fn=<DivBackward0>) 1e-05
68 tensor(0.9311, grad_fn=<DivBackward0>) 1e-05
69 tensor(0.8165, grad_fn=<DivBackward0>) 1e-05
70 tensor(0.7604, grad_fn=<DivBackward0>) 1e-05
71 tensor(0.8578, grad_fn=<DivBackward0>) 1e-05
72 tensor(0.7412, grad_fn=<DivBackward0>) 1.0000000000000002e-06
73 tensor(0.9411, grad_fn=<DivBackward0>) 1.0000000000000002e-06
74 tensor(1.0299, grad_fn=<DivBackward0>) 1.0000000000000002e-06
75 tensor(0.8373, grad_fn=<DivBackward0>) 1.0000000000000002e-06
76 tensor(0.7538, grad_fn=<DivBackward0>) 1.0000000000000002e-06
77 tensor(1.0210, grad_fn=<DivBackward0>) 1.0000000000000002e-06
78 tensor(0.9145, grad_fn=<DivBackward0>) 1.0000000000000002e-06
79 tensor(0.9735, grad_fn=<DivBackward0>) 1.0000000000000002e-06
80 tensor(0.9323, grad_fn=<DivBackward0>) 1.0000000000000002e-06
81 tensor(0.8454, grad_fn=<DivBackward0>) 1.0000000000000002e-06
82 tensor(0.6209, grad_fn=<DivBackward0>) 1.0000000000000002e-06
83 tensor(0.8475, grad_fn=<DivBackward0>) 1.0000000000000002e-07
84 tensor(0.8820, grad_fn=<DivBackward0>) 1.0000000000000002e-07
85 tensor(0.7160, grad_fn=<DivBackward0>) 1.0000000000000002e-07
86 tensor(0.7768, grad_fn=<DivBackward0>) 1.0000000000000002e-07
87 tensor(0.8055, grad_fn=<DivBackward0>) 1.0000000000000002e-07
88 tensor(0.7647, grad_fn=<DivBackward0>) 1.0000000000000002e-07
89 tensor(0.9934, grad_fn=<DivBackward0>) 1.0000000000000002e-07
90 tensor(0.8649, grad_fn=<DivBackward0>) 1.0000000000000002e-07
91 tensor(0.9240, grad_fn=<DivBackward0>) 1.0000000000000002e-07
92 tensor(1.0126, grad_fn=<DivBackward0>) 1.0000000000000002e-07
93 tensor(0.8478, grad_fn=<DivBackward0>) 1.0000000000000002e-07
94 tensor(0.7669, grad_fn=<DivBackward0>) 1.0000000000000004e-08
95 tensor(0.9078, grad_fn=<DivBackward0>) 1.0000000000000004e-08
96 tensor(0.8330, grad_fn=<DivBackward0>) 1.0000000000000004e-08
97 tensor(0.9302, grad_fn=<DivBackward0>) 1.0000000000000004e-08
98 tensor(0.8385, grad_fn=<DivBackward0>) 1.0000000000000004e-08
99 tensor(0.8760, grad_fn=<DivBackward0>) 1.0000000000000004e-08
