
0 tensor(3.0136, grad_fn=<DivBackward0>) 0.0001
1 tensor(2.4324, grad_fn=<DivBackward0>) 0.0001
2 tensor(2.2895, grad_fn=<DivBackward0>) 0.0001
3 tensor(2.0059, grad_fn=<DivBackward0>) 0.0001
4 tensor(2.0888, grad_fn=<DivBackward0>) 0.0001
5 tensor(2.0342, grad_fn=<DivBackward0>) 0.0001
6 tensor(1.8961, grad_fn=<DivBackward0>) 0.0001
7 tensor(1.7522, grad_fn=<DivBackward0>) 0.0001
8 tensor(1.6369, grad_fn=<DivBackward0>) 0.0001
9 tensor(1.6017, grad_fn=<DivBackward0>) 0.0001
10 tensor(1.6025, grad_fn=<DivBackward0>) 0.0001
11 tensor(1.6115, grad_fn=<DivBackward0>) 0.0001
12 tensor(1.4688, grad_fn=<DivBackward0>) 0.0001
13 tensor(1.6184, grad_fn=<DivBackward0>) 0.0001
14 tensor(1.5020, grad_fn=<DivBackward0>) 0.0001
15 tensor(1.3286, grad_fn=<DivBackward0>) 0.0001
16 tensor(1.5591, grad_fn=<DivBackward0>) 0.0001
17 tensor(1.1561, grad_fn=<DivBackward0>) 0.0001
18 tensor(1.3283, grad_fn=<DivBackward0>) 0.0001
19 tensor(1.2228, grad_fn=<DivBackward0>) 0.0001
20 tensor(1.1997, grad_fn=<DivBackward0>) 0.0001
21 tensor(1.2030, grad_fn=<DivBackward0>) 0.0001
22 tensor(1.3774, grad_fn=<DivBackward0>) 0.0001
23 tensor(1.3255, grad_fn=<DivBackward0>) 0.0001
24 tensor(1.2701, grad_fn=<DivBackward0>) 0.0001
25 tensor(1.3439, grad_fn=<DivBackward0>) 0.0001
26 tensor(1.3560, grad_fn=<DivBackward0>) 0.0001
27 tensor(1.1714, grad_fn=<DivBackward0>) 0.0001
28 tensor(1.0353, grad_fn=<DivBackward0>) 0.0001
29 tensor(1.2308, grad_fn=<DivBackward0>) 0.0001
30 tensor(1.2025, grad_fn=<DivBackward0>) 0.0001
31 tensor(1.2889, grad_fn=<DivBackward0>) 0.0001
32 tensor(1.0508, grad_fn=<DivBackward0>) 0.0001
33 tensor(0.8879, grad_fn=<DivBackward0>) 0.0001
34 tensor(1.0628, grad_fn=<DivBackward0>) 0.0001
35 tensor(0.9941, grad_fn=<DivBackward0>) 0.0001
36 tensor(1.0854, grad_fn=<DivBackward0>) 0.0001
37 tensor(1.1603, grad_fn=<DivBackward0>) 0.0001
38 tensor(1.1241, grad_fn=<DivBackward0>) 0.0001
39 tensor(0.8932, grad_fn=<DivBackward0>) 0.0001
40 tensor(1.0644, grad_fn=<DivBackward0>) 0.0001
41 tensor(0.9584, grad_fn=<DivBackward0>) 0.0001
42 tensor(1.0118, grad_fn=<DivBackward0>) 0.0001
43 tensor(1.0916, grad_fn=<DivBackward0>) 0.0001
44 tensor(1.1039, grad_fn=<DivBackward0>) 0.0001
45 tensor(1.0611, grad_fn=<DivBackward0>) 0.0001
46 tensor(1.1387, grad_fn=<DivBackward0>) 0.0001
47 tensor(1.0070, grad_fn=<DivBackward0>) 0.0001
48 tensor(0.8368, grad_fn=<DivBackward0>) 0.0001
49 tensor(1.2141, grad_fn=<DivBackward0>) 0.0001
50 tensor(1.0285, grad_fn=<DivBackward0>) 0.0001
51 tensor(0.9127, grad_fn=<DivBackward0>) 0.0001
52 tensor(0.9788, grad_fn=<DivBackward0>) 0.0001
53 tensor(1.1091, grad_fn=<DivBackward0>) 0.0001
54 tensor(0.9280, grad_fn=<DivBackward0>) 0.0001
55 tensor(1.0883, grad_fn=<DivBackward0>) 0.0001
56 tensor(1.0476, grad_fn=<DivBackward0>) 0.0001
57 tensor(0.8609, grad_fn=<DivBackward0>) 1e-05
