
0 tensor(3.2703, grad_fn=<NegBackward0>)
1 tensor(2.8838, grad_fn=<NegBackward0>)
2 tensor(2.5071, grad_fn=<NegBackward0>)
3 tensor(1.7259, grad_fn=<NegBackward0>)
4 tensor(1.7321, grad_fn=<NegBackward0>)
5 tensor(1.4152, grad_fn=<NegBackward0>)
6 tensor(1.0580, grad_fn=<NegBackward0>)
7 tensor(0.9316, grad_fn=<NegBackward0>)
8 tensor(0.8225, grad_fn=<NegBackward0>)
9 tensor(0.6013, grad_fn=<NegBackward0>)
10 tensor(0.6578, grad_fn=<NegBackward0>)
11 tensor(0.4858, grad_fn=<NegBackward0>)
12 tensor(0.2602, grad_fn=<NegBackward0>)
13 tensor(0.2998, grad_fn=<NegBackward0>)
14 tensor(0.1947, grad_fn=<NegBackward0>)
15 tensor(0.2150, grad_fn=<NegBackward0>)
16 tensor(0.1555, grad_fn=<NegBackward0>)
17 tensor(0.3623, grad_fn=<NegBackward0>)
18 tensor(0.0972, grad_fn=<NegBackward0>)
19 tensor(0.1106, grad_fn=<NegBackward0>)
20 tensor(0.0703, grad_fn=<NegBackward0>)
21 tensor(0.0571, grad_fn=<NegBackward0>)
22 tensor(0.0671, grad_fn=<NegBackward0>)
23 tensor(0.0538, grad_fn=<NegBackward0>)
24 tensor(0.0659, grad_fn=<NegBackward0>)
25 tensor(0.0361, grad_fn=<NegBackward0>)
26 tensor(0.0383, grad_fn=<NegBackward0>)
27 tensor(0.0217, grad_fn=<NegBackward0>)
28 tensor(0.0242, grad_fn=<NegBackward0>)
29 tensor(0.0276, grad_fn=<NegBackward0>)
30 tensor(0.0241, grad_fn=<NegBackward0>)
31 tensor(0.0216, grad_fn=<NegBackward0>)
32 tensor(0.0140, grad_fn=<NegBackward0>)
33 tensor(0.0211, grad_fn=<NegBackward0>)
34 tensor(0.0205, grad_fn=<NegBackward0>)
35 tensor(0.0127, grad_fn=<NegBackward0>)
36 tensor(0.0176, grad_fn=<NegBackward0>)
37 tensor(0.0104, grad_fn=<NegBackward0>)
38 tensor(0.0092, grad_fn=<NegBackward0>)
39 tensor(0.0106, grad_fn=<NegBackward0>)
40 tensor(0.0102, grad_fn=<NegBackward0>)
41 tensor(0.0073, grad_fn=<NegBackward0>)
42 tensor(0.0069, grad_fn=<NegBackward0>)
43 tensor(0.0067, grad_fn=<NegBackward0>)
44 tensor(0.0068, grad_fn=<NegBackward0>)
45 tensor(0.0117, grad_fn=<NegBackward0>)
46 tensor(0.0083, grad_fn=<NegBackward0>)
47 tensor(0.0078, grad_fn=<NegBackward0>)
48 tensor(0.0084, grad_fn=<NegBackward0>)
49 tensor(0.1718, grad_fn=<NegBackward0>)
